,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Specialist Enchants,,,,,,,,,Protection,,,,,,Health,,,,,,Speed,,,,Armor Attribrutes,,,,,,,,,Weapon Base Stats,,,,,,Durability,,,,Melee Enchants,,,,,,,,,,,,,,Ranged Enchants,,,,,,,,,,,Tool Enchants,,,,,,,,,Water,,,,,,Misc.,,,,,,,,,,,,,Curses,,,,Epic Enchants,,,,,Indexing,,,,,Stored Values,
,Plebian Warblade,Isles,Patron,Offhand Sword,Iron Sword,Celsian Isles,,,,"Melee Prot. 2
Projectile Prot. 1",+4 Max Health,+15% Speed,"+20% Attack Damage
+2.0 Knockback Res.",,Unbreakable,,,,,,,,,,,,,,,,,,,2,1,,,,,+4,,,,,,,+15%,,,+20%,,,,,,+2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,10,20,20,+15%,,10,20
,Polaris,Isles,Patron,Bow,Bow,Celsian Isles,,,,Projectile Prot. 3,,+10% Speed,,"8.0 Proj Damage
1.0 Proj Speed",Unbreaking 2,,"Point Blank 7
Fire Aspect 1
Punch 1",,,Inferno 1,,,,,,,,,,,,,,,3,,,,,,,,,,,,+10%,,,,,,,,,,,,,,,8.0,1.0,,2,,,,,,,,,,,,,,,,,,,7,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,10,20,,+10%,,10,20
,Pragmatism,Isles,Patron,Mainhand,Wooden Axe,Celsian Isles,,,,"Projectile Prot. 2
Blast Prot. 2","Regen 1
Sustenance 2",+16% Speed,+2 Thorns,,Unbreakable,Knockback 2,,,,,,,,,,,,,,,,,,,2,,2,,,,,1,,2,,,+16%,,,,,,,,,,+2,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,+16%,,10,20
,Prophetic Moonbeam,Isles,Patron,Offhand,Lantern,Celsian Isles,,,,,,,,,,,,,,Weightless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,10,20,,,,10,20
,Psycho Mask,Isles,Patron,Helmet,Player Head,Celsian Isles,,2,,,Life Drain 1,,+35% Attack Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,+35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,Shattered Sovereign,Isles,Patron,Chestplate,Chainmail Chestplate,Celsian Isles,5,,Steadfast 1,,,,"+10% Attack Damage
+0.10 Attack Speed",,Unbreaking 4,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,+10%,+0.10,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,+8%,10,20
,Skyfeller,Isles,Patron,Pickaxe,Golden Pickaxe,Celsian Isles,,,,,,+15% Speed,,"8.0 Attack Damage
2.0 Attack Speed",Unbreaking 50,Thunder Aspect 1,,Eruption 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+15%,,,,,,,,,,,,,8.0,2.0,,,,50,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,+15%,,10,20
,Square Halo,Isles,Patron,Helmet,Golden Helmet,Celsian Isles,1,1,,Feather Falling 3,+8 Max Health,,,,Mending,,,,,,,,,,,,,,,,,,,,,,,,3,+8,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,10,20,40,,,10,20
,Stalker's Repeater,Isles,Patron,Crossbow,Crossbow,Celsian Isles,,,Evasion 1,,,,,"18.0 Proj Damage
1.5 Proj Speed",Unbreaking 2,,"Infinity
Quick Charge 1",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,1.5,,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,Sunrise,Isles,Patron,Mainhand Sword,Iron Sword,Celsian Isles,,,,Fire Prot. 2,,,,"7.0 Attack Damage
1.6 Attack Speed",Unbreaking 2,Slayer 4,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,7.0,1.6,,,,2,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,The Fine Print,Isles,Patron,Offhand,Paper,Celsian Isles,,3.5,"Poise 2
Adaptability","Melee Prot. 2
Projectile Prot. 1",-25% Max Health,+15% Speed,+15% Magic Damage,,,,,,,,,,,,,2,,,,,,,1,2,1,,,,,,-25%,,,,,,+15%,,,,,,+15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,-31.25,+15%,,10,20
,The Glass Canon,Isles,Patron,Offhand,Book,Celsian Isles,-3,-3,,"Blast Prot. 2
Feather Falling 2",,,+45% Magic Damage,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,+45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,The Lamb Chop,Isles,Patron,Consumable,Cooked Mutton,Celsian Isles,,,,,,,,"16.0 Attack Damage
1.0 Attack Speed",,Knockback 2,,Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,1.0,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,The White Cliff,Isles,Patron,Offhand Shield,Shield,Celsian Isles,4.5,,,,,+8% Speed,+4.0 Knockback Res.,,Mending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+8%,,,,,,,,,+4.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,+8%,,10,20
,Timeless Bond,Isles,Patron,Helmet,Leather Helmet,Celsian Isles,5,,Poise 1,,-2 Max Health,,,,Unbreaking 7,,,,,Second Wind 2,,,,,,1,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,10,20,-10,,,10,20
,Umbras Visage,Isles,Patron,Helmet,Chainmail Helmet,Celsian Isles,,5,,,+4 Max Health,,,,Unbreaking 3,,,,,Darksight,,,,,,,,,,,,,,,,,,,,+4,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,10,20,20,,,10,20
,Valkyrie Band,Isles,Patron,Offhand,Totem of Undying,Celsian Isles,6.5,,,,,Adrenaline 3,+3.0 Knockback Res.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,+3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,10,20,,,,10,20
,Violet Arc,Isles,Patron,Crossbow,Crossbow,Celsian Isles,,,,,,,,"15.0 Proj Damage
1.5 Proj Speed",Unbreaking 2,,"Thunder Aspect 5
Infinity
Quick Charge 1
Piercing 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,1.5,,2,,,,,,,,,,,,,,,,,,,,,,5,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,Vivace,Isles,Patron,Helmet,Leather Helmet,Celsian Isles,,9,,,,Adrenaline 2,,,Unbreaking 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,Voodoo Brew,Isles,Patron,Consumable,Potion,Celsian Isles,,,,,,+10% Speed,,,,,,Infinity,,,,,Speed 1 + Regen 1 for 13 secs,,,,,,,,,,,,,,,,,,,,,,,,+10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,+10%,,10,20
,Voodoo Brew - Zero Ultra,Isles,Patron,Consumable,Potion,Celsian Isles,3,,,,,Adrenaline 1,+25% Attack Damage,,,,,Infinity,,,,,"Haste 1 for 13 secs, Starvation 6, stats from offhand",,,,,,,,,,,,,,,,,,,,,,,,,1,,+25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,Wavering Omen,Isles,Patron,Boots,Leather Boots,Celsian Isles,4,,"Reflexes 1
Adaptability",,+2 Max Health,,+10% Magic Damage,,Unbreaking 15,,,,,,,,,,,,,,,1,,,1,,,,,,,+2,,,,,,,,,,,,,+10%,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,10,,,10,20
,Wilt,Isles,Patron,Mainhand Sword,Iron Sword,Celsian Isles,,,,,,,,"9.0 Attack Damage
2.0 Attack Speed",Unbreakable,"Thunder Aspect 2
Sweeping Edge 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2.0,,,,,,1,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,7 Grain Loaf,Isles,Unique,Consumable,Bread,Celsian Isles,,,,,,,,,,,,Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,,,,9,20
,Agriva,Isles,Unique,Offhand Sword,Golden Sword,Celsian Isles,,5,,Fire Prot. 2,Sustenance 1,,,,Unbreakable,,,,,Inferno 3,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,9,20,,,,9,20
,Amina's Axe,Isles,Unique,Axe,Iron Axe,Celsian Isles,,,,Melee Prot. 2,,,,"12.0 Attack Damage
0.9 Attack Speed",Mending,"Smite 3
Thunder Aspect 2",,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0.9,,,,,1,,,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,,,,9,20
,Amulet of the Trade,Isles,Unique,Misc,Clock,Celsian Isles,,,,,,,,,,,,,,,,,Quest related item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,,,,9,20
,Apotheosis Spear (Fire),Isles,Unique,Trident,Trident,Celsian Isles,,,,,,,,"12.0 Attack Damage
1.3 Attack Speed
24.0 Proj Damage
0.8 Proj Speed
0.8 Throw Rate",Unbreaking 2,Fire Aspect 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.3,24.0,0.8,0.8,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,,,,9,20
,Apotheosis Spear (Ice),Isles,Unique,Trident,Trident,Celsian Isles,,,,,,,,"11.0 Attack Damage
1.3 Attack Speed
22.0 Proj Damage
0.8 Proj Speed
0.8 Throw Rate",Unbreaking 2,Ice Aspect 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,1.3,22.0,0.8,0.8,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,,,,9,20
,Apotheosis Spear (Thunder),Isles,Unique,Trident,Trident,Celsian Isles,,,,,,,,"11.0 Attack Damage
1.3 Attack Speed
22.0 Proj Damage
0.8 Proj Speed
0.8 Throw Rate",Unbreaking 2,Thunder Aspect 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,1.3,22.0,0.8,0.8,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,,,,9,20
,Bark!,Isles,Unique,Helmet,Player Head,Celsian Isles,2,2,,"Blast Prot. 2
Fire Prot. 2
Feather Falling 2",+2 Max Health,,+2.0 Knockback Res.,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,+2,,,,,,,,,,,,,,,,+2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,10,,,9,20
,Bewitched Firework,Isles,Unique,Misc,Firework Rocket,Celsian Isles,,,,,,,,,,,,,,,,,Ordinary firework,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,,,,9,20
,Blade of Exaltation,Isles,Unique,Wand,Iron Sword,Celsian Isles,,,,,,,"+2.0 Knockback Res.
+2 Thorns","+60% Spell Power
9.0 Attack Damage
1.6 Attack Speed",Unbreaking 4,Sweeping Edge 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2.0,+2,,+60%,9.0,1.6,,,,4,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,,,,9,20
,Calvarium,Isles,Unique,Axe,Diamond Axe,Celsian Isles,,,,,,,,"17.5 Attack Damage
1.0 Attack Speed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,,,,9,20
,Celsian Heraldic Blade,Isles,Unique,Mainhand Sword,Iron Sword,Celsian Isles,1.5,1.5,,,,,,"10.5 Attack Damage
1.6 Attack Speed",Unbreaking 3,Sweeping Edge 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,1.6,,,,3,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,,,,9,20
,Crest of Celsia,Isles,Unique,Bow,Bow,Celsian Isles,,,,,Regen 1,,,"22.0 Proj Damage
1.0 Proj Speed",Unbreaking 3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,22.0,1.0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,,,,9,20
,Crystallizer,Isles,Unique,Misc,Emerald,Celsian Isles,,,,,,,,,,,,,,,,,Convert tiered items to currency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,,,,9,20
,D.R.E.A.M.,Isles,Unique,Mainhand,Fishing Rod,Celsian Isles,,,,,,,,"8.0 Attack Damage
1.6 Attack Speed",Unbreakable,"Knockback 1
Hex Eater 3",,Lure 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.6,,,,,,1,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,,,,9,20
,Embalmer's Trophy,Isles,Unique,Helmet,Player Head,Celsian Isles,3,,Poise 1,,Life Drain 1,,+5% Attack Damage,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,+5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,,,,9,20
,Excavator's Hardlamp,Isles,Unique,Helmet,Iron Helmet,Celsian Isles,7.5,,,Blast Prot. 2,,,+3.0 Knockback Res.,,Unbreaking 3,,,,,Darksight,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,+3.0,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,9,20,,,,9,20
,Fraying Veil,Isles,Unique,Offhand,Dried Kelp,Celsian Isles,,,,,,,,,,,,,Gills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,,,,9,20
,Freezeflame,Isles,Unique,Bow,Bow,Celsian Isles,,,,,,,,"18.0 Proj Damage
1.2 Proj Speed",Mending,,"Fire Aspect 1
Ice Aspect 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,1.2,,,1,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,,,,9,20
,Grindstone,Isles,Unique,Pickaxe,Stone Pickaxe,Celsian Isles,,,,,,,,"3.0 Attack Damage
1.2 Attack Speed",Unbreakable,,,"Efficiency 1
Sapper 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,,,,9,20
,Levyn's Pirate Hat,Isles,Unique,Helmet,Leather Helmet,Celsian Isles,6,,,,,,+10% Attack Speed,,Unbreaking 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+10%,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,,,+10%,9,20
,Lyson's Head (helmet),Isles,Unique,Helmet,Player Head,Celsian Isles,,,,"Melee Prot. 2
Projectile Prot. 2
Magic Prot. 2",+3 Max Health,,+10% Proj Damage,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,+3,,,,,,,,,,,,,,+10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,15,,,9,20
,Lyson's Head (offhand),Isles,Unique,Offhand,Player Head,Celsian Isles,,,,"Melee Prot. 2
Projectile Prot. 2
Magic Prot. 2",+3 Max Health,,+15% Attack Damage,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,+3,,,,,,,,,,+15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,15,,,9,20
,Medusa Flower,Isles,Unique,Offhand,Sea Pickle,Celsian Isles,2,,,,"+2 Max Health
+10% Max Health","+10% Speed
Adrenaline 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,+2,+10%,,,,,,+10%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,22.5,+10%,,9,20
,Merchant's Curio,Isles,Unique,Offhand,Shears,Celsian Isles,,8,,,,+15% Speed,-20% Attack Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+15%,,,-20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,,+15%,,9,20
,Monshee's Judgement,Isles,Unique,Mainhand Sword,Golden Sword,Celsian Isles,,,,,,,,"24.0 Attack Damage
1.4 Attack Speed",Unbreaking 3,,,,,,Two Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,1.4,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,9,20,,,,9,20
,Myriad's Rapier,Isles,Unique,Mainhand Sword,Golden Sword,Celsian Isles,,,,,,,,"11.5 Attack Damage
1.6 Attack Speed","Unbreaking 2
Mending","Decay 3
Bleeding 2",,Efficiency 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,1.6,,,,2,1,,,,,,,,,,,3,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,,,,9,20
,Nettlegold Shiv,Isles,Unique,Offhand Sword,Golden Sword,Celsian Isles,,4,,Melee Prot. 2,,,"+10% Attack Damage
+7 Thorns",,Unbreakable,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,+10%,,,,,,,+7,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,,,,9,20
,Night Rooster Boots,Isles,Unique,Boots,Leather Boots,Celsian Isles,,3,Tempo 1,,,+15% Speed,,,Unbreakable,,,,,Soul Speed 2,,,,,,,,,,,,1,,,,,,,,,,,,,,,+15%,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,9,20,,+15%,,9,20
,Night Rooster Cloak,Isles,Unique,Chestplate,Leather Chestplate,Celsian Isles,,3,Tempo 1,,,+20% Speed,,,Unbreakable,,,,Depth Strider 3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,+20%,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,9,20,,+20%,,9,20
,Night Rooster Hood,Isles,Unique,Helmet,Leather Helmet,Celsian Isles,,3,Tempo 1,Feather Falling 5,,+15% Speed,,,Unbreakable,,,,,,,,,,,,,,,,,1,,,,,,,5,,,,,,,,+15%,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,,+15%,,9,20
,Night Rooster Leggings,Isles,Unique,Leggings,Leather Leggings,Celsian Isles,,3,Tempo 1,,,+20% Speed,,,Unbreakable,,,,Respiration 5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,+20%,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,,+20%,,9,20
,Notched Pickaxe,Isles,Unique,Pickaxe,Iron Pickaxe,Celsian Isles,,,,,,,,"10.0 Attack Damage
2.0 Attack Speed",Unbreaking 5,"Ice Aspect 1
Quake 1",,"Efficiency 2
Eruption 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2.0,,,,5,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,,,,9,20
,Pirate's Flintlock,Isles,Unique,Crossbow,Crossbow,Celsian Isles,,,,,,,,"12.0 Proj Damage
1.5 Proj Speed",Unbreaking 1,,"Point Blank 4
Fire Aspect 1
Punch 1
Quick Charge 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.5,,1,,,,,,,,,,,,,,,,,,,4,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,,,,9,20
,Red Hot Pickaxe,Isles,Unique,Pickaxe,Iron Pickaxe,Celsian Isles,,,,,,+14% Speed,,"4.0 Attack Damage
1.2 Attack Speed",,Fire Aspect 1,,Efficiency 1,,Inferno 2,,,,,,,,,,,,,,,,,,,,,,,,,,,+14%,,,,,,,,,,,,,4.0,1.2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,9,20,,+14%,,9,20
,Red Rooster,Isles,Unique,Crossbow,Crossbow,Celsian Isles,,,,,,,,"5.0 Proj Damage
1.0 Proj Speed",Unbreaking 2,,"Infinity
Quick Charge 2
Recoil 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,2,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,,,,9,20
,Rootstrike,Isles,Unique,Mainhand Sword,Stone Sword,Celsian Isles,,,,,,,+3.0 Knockback Res.,"15.0 Attack Damage
1.0 Attack Speed",Unbreaking 10,"Ice Aspect 3
Sweeping Edge 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+3.0,,,,15.0,1.0,,,,10,,,,,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,,,,9,20
,Royal Shield,Isles,Unique,Offhand Shield,Shield,Celsian Isles,3,,,,,,"+13% Attack Damage
+0.10 Attack Speed
+3.0 Knockback Res.",,Unbreaking 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+13%,+0.10,,,,,+3.0,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,,,+8%,9,20
